ID,Title,Description,Role,Phase,Priority,Estimate (days)
BE-01,Set up FastAPI project skeleton,Create app structure (api/models/core/services) config and health check endpoint,Backend Engineer,1 - Requirements & Architecture,High,1
BE-02,Design DB schema (SQLAlchemy models),Model core entities from PRD sec 15: Users Roles Permissions Applicants Applications Programs Sources etc,Backend Engineer,1 - Requirements & Architecture,High,3
BE-03,Set up Alembic migrations,Initialize migration tooling against the schema from BE-02,Backend Engineer,2 - Core Platform,Medium,1
BE-04,Implement authentication endpoints,Login password recovery session management account lockout,Backend Engineer,2 - Core Platform,High,3
BE-05,Implement RBAC middleware,Server-side permission checks on every protected endpoint per SEC-04,Backend Engineer,2 - Core Platform,High,2
BE-06,Build Applicant CRUD APIs,Create/read/update/search/filter with field-level permission enforcement,Backend Engineer,2 - Core Platform,High,3
BE-07,Build Admission Source management APIs,CRUD for source category/name/subcategory/campaign per FR-04,Backend Engineer,2 - Core Platform,Medium,2
BE-08,Build Program/Campus/Department APIs,CRUD for program hierarchy per FR-06,Backend Engineer,2 - Core Platform,Medium,2
BE-09,Build Referral management APIs,Referral categories and performance analysis endpoints per FR-05,Backend Engineer,2 - Core Platform,Medium,1
BE-10,Implement export endpoints,Controlled export respecting permissions logging and watermarking per FR-15,Backend Engineer,3 - Dashboard,Medium,2
BE-11,Write OpenAPI documentation,Ensure all endpoints documented with request/response schemas,Backend Engineer,3 - Dashboard,Low,2
DE-01,Define CSV/Excel import mapping spec,Column mapping format for admissions data imports per FR-07,Data Engineer,1 - Requirements & Architecture,High,2
DE-02,Build import validation pipeline,Format validation duplicate detection error reporting using Pandas,Data Engineer,2 - Core Platform,High,3
DE-03,Build source-mapping normalization logic,Map raw/free-text source values to the taxonomy in PRD sec 6,Data Engineer,2 - Core Platform,High,2
DE-04,Build data quality checks,Detect missing fields invalid emails/phones inconsistent codes per FR-08,Data Engineer,2 - Core Platform,Medium,2
DE-05,Build duplicate applicant detection,Fuzzy-match duplicate applicant records across imports,Data Engineer,2 - Core Platform,Medium,2
DE-06,Historical data migration script,Migrate existing spreadsheet/legacy data into the new schema,Data Engineer,3 - Dashboard,Medium,3
DE-07,Build import audit logging,Log every import job with summary and errors per FR-07,Data Engineer,3 - Dashboard,Low,1
FE-01,Set up Next.js + TypeScript + Tailwind skeleton,Project scaffold with routing and design tokens,Frontend Engineer (Delna),1 - Requirements & Architecture,High,1
FE-02,Wireframe dashboard funnel and applicant table,Low-fidelity wireframes reviewed with the team before build,Frontend Engineer (Delna),1 - Requirements & Architecture,High,2
FE-03,Build login + MFA UI,Auth flow screens wired to BE-04,Frontend Engineer (Delna),2 - Core Platform,High,2
FE-04,Build role-aware navigation/layout shell,Nav and page access differ per role from FR-02,Frontend Engineer (Delna),2 - Core Platform,High,2
FE-05,Build main dashboard KPI cards,Totals conversion rate target vs actual per FR-09,Frontend Engineer (Delna),3 - Dashboard,High,3
FE-06,Build source analytics charts,Leads/applications/offers/enrollments by source per FR-10,Frontend Engineer (Delna),3 - Dashboard,High,3
FE-07,Build funnel visualization,Stage-by-stage conversion view per FR-13,Frontend Engineer (Delna),3 - Dashboard,High,2
FE-08,Build applicant table with filters/search,Filterable by program campus source date counsellor,Frontend Engineer (Delna),3 - Dashboard,Medium,3
FE-09,Build CSV/Excel import UI,Upload mapping preview and validation results screens,Frontend Engineer (Delna),3 - Dashboard,Medium,3
FE-10,Build report export UI,PDF/Excel export respecting permissions per FR-15,Frontend Engineer (Delna),3 - Dashboard,Medium,2
FE-11,Responsive and accessibility pass,Verify usability on tablet/mobile widths and a11y basics,Frontend Engineer (Delna),4 - Security Hardening,Low,2
SEC-01,Threat model the system,STRIDE pass on schema and API surface documented in security/docs,Security Engineer,1 - Requirements & Architecture,High,2
SEC-02,Decide and implement auth approach,SSO/OIDC vs standalone + MFA based on PRD open question 1,Security Engineer,2 - Core Platform,High,2
SEC-03,Implement MFA,Multi-factor auth for admin and high-privilege accounts per SEC-03,Security Engineer,2 - Core Platform,High,2
SEC-04,Implement encryption config,TLS in transit AES-256 at rest per SEC-01,Security Engineer,2 - Core Platform,High,2
SEC-05,Implement audit logging service,Central append-only log per SEC-07 covering all listed events,Security Engineer,3 - Dashboard,High,3
SEC-06,Implement PII data masking,Mask sensitive fields for roles without full access per SEC-06,Security Engineer,3 - Dashboard,High,2
SEC-07,Implement rate limiting and account lockout,Protect auth endpoints from brute force per SEC-05,Security Engineer,4 - Security Hardening,High,1
SEC-08,Set security headers,CSP HSTS and related headers across the app,Security Engineer,4 - Security Hardening,Medium,1
SEC-09,Run OWASP ASVS checklist review,Baseline review against SEC-10 before launch,Security Engineer,4 - Security Hardening,High,2
SEC-10,Coordinate penetration test,Internal or external pen test before go-live per PRD sec 9,Security Engineer,6 - Deployment & Testing,High,3
SEC-11,Build security monitoring/alerting,Flag suspicious activity patterns per SEC-08,Security Engineer,4 - Security Hardening,Medium,2
